,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,GenNo,InvSimpson,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW
1,C,1,3,114,CORE,13,0.38,0,0.54,0,0.08,0,0,0,0,0,0.691699871702443,0.0196321687357537,-0.408665785598933,-0.0186754710021436,3,1.79787234042553,0.384615384615385,0.384615384615385,-0.307692307692308,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.580750249685472,-0.597350788723704,0.556879029615913,-0.584574407990358,0.619018402458139,-0.626214079689006,0.645491686338999,-0.57587306662685,0.795160448273779,-0.824144237311456,0.809331912182234,-0.775302884982274,0.927230708372341,-0.813689615322457,0.759796066917966,-0.851032373108187
2,C,1,3,114,EDGE,17,0,0,0.06,0.88,0.06,0,0,0,0,0,1.57615940120379,0.477070761135923,0.192545977961249,-1.06737499650731,3,4.66129032258064,0.344161764705883,0.294117647058824,-0.294117647058824,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.510143445150077,-0.551123359583566,0.501422372072747,-0.579942053023676,0.512036284195429,-0.501025314106228,0.533222724088449,-0.468154340958793,0.695323358894104,-0.70265660694122,0.739264754109167,-0.768258900452726,0.752538439651337,-0.764375377914156,0.659239901156102,-0.762704968161774
3,C,2,2,233,CORE,14,0,0,0.21,0,0.21,0.07,0.07,0.14,0.07,0.21,-0.260476962965734,-0.0686243817110791,0.162248069350256,-0.259445389460593,7,1.20987654320988,0.367910714285715,0.357142857142857,-0.285714285714286,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.51247928565692,-0.53333165026471,0.540170835420461,-0.582819060449183,0.526625341765123,-0.547313185461876,0.604964690807871,-0.559815200473007,0.744449370217997,-0.790244754677742,0.801526495831019,-0.780175947980468,0.838256735327608,-0.833863482074149,0.759460603047471,-0.815769200368504
4,C,2,2,233,EDGE,15,0.13,0.07,0.2,0.07,0.13,0,0.33,0.07,0,0,0.0354789513836668,0.252658543881505,0.247841638846587,-0.367044833926809,7,1.25,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422
5,C,4,2,177,CORE,10,0.5,0,0.3,0.1,0.1,0,0,0,0,0,0.899545067401721,0.455575807167819,-0.342532491607313,0.466886775053675,4,1.5625,0.42,0.4,-0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
6,C,4,2,177,EDGE,10,0.1,0,0.6,0,0,0,0,0.2,0,0.1,0.134093674655239,-0.407361936531443,-0.140019055460726,-0.689555852386959,4,1.72413793103448,0.42,0.4,-0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
7,C,5,2,89,CORE,10,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0.310091622715144,-0.274792246378413,0.439833869130871,-0.0790116080860047,8,1.16279069767442,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
8,C,5,2,89,EDGE,10,0.1,0,0,0.6,0,0.1,0.1,0,0.1,0,0.87998974006486,0.553410155725589,-0.166915371198945,-0.438155281204212,5,1.66666666666667,0.42,0.4,-0.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
9,C,8,1,65,CORE,9,0,0,0.44,0.11,0.22,0.22,0,0,0,0,0.446504000580576,-0.511602609195193,0.0535157576379569,-0.68424052602481,NA,NA,0.43338888888889,0.333333333333333,-0.444444444444444,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73196677444223,-0.654017066072879,0.656410352703902,-0.724199756105661,0.745504784226044,-0.676923573916417,0.701627070288992,-0.715294482293764,1.02145546281073,-0.943699755645988,1.05204285025548,-0.922350221246476,0.95678589192455,-1.04397917693211,1.0295451962722,-0.957915985911401
10,C,8,1,65,EDGE,10,0.1,0.4,0.1,0,0,0.1,0.2,0,0.1,0,-0.0446978916243801,-0.550539966045208,-0.065658653125651,0.107743101935464,6,1.31578947368421,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
11,C,11,5,127,CORE,18,0,0,0.17,0.17,0.44,0.06,0,0,0,0.17,0.450247449084166,-0.00212665088093388,0.496751219641602,-0.372360160288958,5,1.39655172413793,0.327777777777778,0.277777777777778,-0.277777777777778,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.472858684450003,-0.451537945297408,0.475089251252504,-0.525101726901706,0.473196067962204,-0.476409782158864,0.509984015827859,-0.497663392597272,0.604566143461029,-0.687656885485485,0.677392186405159,-0.660309159875587,0.644819393121045,-0.691223228709429,0.708460776291379,-0.686463226312888
12,C,11,5,127,EDGE,18,0.17,0.22,0.17,0.28,0.11,0,0.06,0,0,0,0.832135059886731,-0.110042381216776,0.138872006701303,-0.208590645347053,6,1.24615384615385,0.327777777777778,0.277777777777778,-0.277777777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.472858684450003,-0.451537945297408,0.475089251252504,-0.525101726901706,0.473196067962204,-0.476409782158864,0.509984015827859,-0.497663392597272,0.604566143461029,-0.687656885485485,0.677392186405159,-0.660309159875587,0.644819393121045,-0.691223228709429,0.708460776291379,-0.686463226312888
13,C,12,2,100,CORE,16,0,0.13,0.44,0.06,0,0.25,0,0.06,0,0.06,0.191921571907248,-0.803839472491431,-0.223555847871194,-0.549489819870858,6,1.39130434782609,0.353171875000001,0.281406250000003,-0.3125,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.536461999238839,-0.528735898838677,0.502236776644917,-0.504759002094449,0.504658192609313,-0.492032003948193,0.54589838313968,-0.511723617994522,0.74299332134345,-0.681882922808609,0.712793228766181,-0.733037164320511,0.740952709138505,-0.733826915929368,0.774908590951463,-0.682485211322447
14,C,12,2,100,EDGE,18,0.33,0,0.11,0.33,0.11,0,0.11,0,0,0,0.913596967165724,0.662344541550542,-0.0509052328751276,0.0584685899836474,5,1.35,0.327777777777778,0.277777777777778,-0.277777777777778,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.472858684450003,-0.451537945297408,0.475089251252504,-0.525101726901706,0.473196067962204,-0.476409782158864,0.509984015827859,-0.497663392597272,0.604566143461029,-0.687656885485485,0.677392186405159,-0.660309159875587,0.644819393121045,-0.691223228709429,0.708460776291379,-0.686463226312888
15,C,14,2,135,CORE,10,0,0,0.1,0,0.2,0.3,0.1,0.2,0.1,0,-0.312885240834287,-0.248768857669464,0.295068405010459,-0.114925975397826,6,1.25,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
