,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,LJ01_change,LJ02_change,LJ03_change,LJ04_change,LM01_change,LM02_change,LM03_change,LM04_change,LM05_change,LM06_change,GenNo,Simpson,InvSimpson,Abundance,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW
1,C,1,3,114,CORE,13,0.38,0,0.54,0,0.08,0,0,0,0,0,0.6916998717,0.01963216874,-0.4086657856,-0.018675471,0.28,-0.1,0.44,-0.1,-0.02,-0.1,-0.1,-0.1,-0.1,-0.1,3,0.5562130178,1.79787234,13,0.3846153846,0.3846153846,-0.3076923077,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5807502497,-0.5973507887,0.5568790296,-0.584574408,0.6190184025,-0.6262140797,0.6454916863,-0.5758730666,0.7951604483,-0.8241442373,0.8093319122,-0.775302885,0.9272307084,-0.8136896153,0.7597960669,-0.8510323731
3,C,2,2,233,CORE,14,0,0,0.21,0,0.21,0.07,0.07,0.14,0.07,0.21,-0.260476963,-0.06862438171,0.1622480694,-0.2594453895,-0.1,-0.1,0.11,-0.1,0.11,-0.03,-0.03,0.04,-0.03,0.11,7,0.8265306122,1.209876543,14,0.3679107143,0.3571428571,-0.2857142857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5124792857,-0.5333316503,0.5401708354,-0.5828190604,0.5266253418,-0.5473131855,0.6049646908,-0.5598152005,0.7444493702,-0.7902447547,0.8015264958,-0.780175948,0.8382567353,-0.8338634821,0.759460603,-0.8157692004
5,C,4,2,177,CORE,10,0.5,0,0.3,0.1,0.1,0,0,0,0,0,0.8995450674,0.4555758072,-0.3425324916,0.4668867751,0.4,-0.1,0.2,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,4,0.64,1.5625,10,0.42,0.4,-0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
7,C,5,2,89,CORE,10,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0.3100916227,-0.2747922464,0.4398338691,-0.07901160809,0,0.1,0,0,0.1,0,0,0,-0.1,-0.1,8,0.86,1.162790698,10,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
9,C,8,1,65,CORE,9,0,0,0.44,0.11,0.22,0.22,0,0,0,0,0.4465040006,-0.5116026092,0.05351575764,-0.684240526,-0.1,-0.1,0.34,0.01,0.12,0.12,-0.1,-0.1,-0.1,-0.1,NA,NA,NA,NA,0.4333888889,0.3333333333,-0.4444444444,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7319667744,-0.6540170661,0.6564103527,-0.7241997561,0.7455047842,-0.6769235739,0.7016270703,-0.7152944823,1.021455463,-0.9436997556,1.05204285,-0.9223502212,0.9567858919,-1.043979177,1.029545196,-0.9579159859
11,C,11,5,127,CORE,18,0,0,0.17,0.17,0.44,0.06,0,0,0,0.17,0.4502474491,-0.002126650881,0.4967512196,-0.3723601603,-0.1,-0.1,0.07,0.07,0.34,-0.04,-0.1,-0.1,-0.1,0.07,5,0.7160493827,1.396551724,18,0.3277777778,0.2777777778,-0.2777777778,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4728586845,-0.4515379453,0.4750892513,-0.5251017269,0.473196068,-0.4764097822,0.5099840158,-0.4976633926,0.6045661435,-0.6876568855,0.6773921864,-0.6603091599,0.6448193931,-0.6912232287,0.7084607763,-0.6864632263
13,C,12,2,100,CORE,16,0,0.13,0.44,0.06,0,0.25,0,0.06,0,0.06,0.1919215719,-0.8038394725,-0.2235558479,-0.5494898199,-0.1,0.03,0.34,-0.04,-0.1,0.15,-0.1,-0.04,-0.1,-0.04,6,0.71875,1.391304348,16,0.353171875,0.28140625,-0.3125,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5364619992,-0.5287358988,0.5022367766,-0.5047590021,0.5046581926,-0.4920320039,0.5458983831,-0.511723618,0.7429933213,-0.6818829228,0.7127932288,-0.7330371643,0.7409527091,-0.7338269159,0.774908591,-0.6824852113
15,C,14,2,135,CORE,10,0,0,0.1,0,0.2,0.3,0.1,0.2,0.1,0,-0.3128852408,-0.2487688577,0.295068405,-0.1149259754,-0.1,-0.1,0,-0.1,0.1,0.2,0,0.1,0,-0.1,6,0.8,1.25,10,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
17,C,15,5,151,CORE,18,0.06,0,0.5,0.17,0,0.28,0,0,0,0,0.5044436424,-0.505087476,-0.4053828529,-0.6647031102,-0.04,-0.1,0.4,0.07,-0.1,0.18,-0.1,-0.1,-0.1,-0.1,4,0.6419753086,1.557692308,18,0.3277777778,0.2777777778,-0.2777777778,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4728586845,-0.4515379453,0.4750892513,-0.5251017269,0.473196068,-0.4764097822,0.5099840158,-0.4976633926,0.6045661435,-0.6876568855,0.6773921864,-0.6603091599,0.6448193931,-0.6912232287,0.7084607763,-0.6864632263
19,C,16,2,220,CORE,10,0,0.2,0.7,0.1,0,0,0,0,0,0,0.5671044992,-0.9520938392,-0.2064687767,-1.084613893,-0.1,0.1,0.6,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,3,0.46,2.173913043,10,0.42,0.4,-0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
