,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,GenNo,Simpson,InvSimpson,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW,LJ01_diff,LJ02_diff,LJ03_diff,LJ04_diff,LM01_diff,LM02_diff,LM03_diff,LM04_diff,LM05_diff,LM06_diff,LJ01_sigdiff,LJ02_sigdiff,LJ03_sigdiff,LJ04_sigdiff,LM01_sigdiff,LM02_sigdiff,LM03_sigdiff,LM04_sigdiff,LM05_sigdiff,LM06_sigdiff,SLA_diff,root_diff,raft_diff,growth_diff,div_diff
2,C,1,3,114,EDGE,17,0,0,0.06,0.88,0.06,0,0,0,0,0,1.57615940120379,0.477070761135923,0.192545977961249,-1.06737499650731,3,0.214532871972318,4.66129032258064,0.344161764705883,0.294117647058824,-0.294117647058824,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.510143445150077,-0.551123359583566,0.501422372072747,-0.579942053023676,0.512036284195429,-0.501025314106228,0.533222724088449,-0.468154340958793,0.695323358894104,-0.70265660694122,0.739264754109167,-0.768258900452726,0.752538439651337,-0.764375377914156,0.659239901156102,-0.762704968161774,-0.38,0,-0.48,0.88,-0.02,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.45743859240017,0.601211763560182,0.884459529501351,-1.04869952550517,0.341680145779161
4,C,2,2,233,EDGE,15,0.13,0.07,0.2,0.07,0.13,0,0.33,0.07,0,0,0.0354789513836668,0.252658543881505,0.247841638846587,-0.367044833926809,7,0.8,1.25,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422,0.13,0.07,-0.00999999999999998,0.07,-0.08,-0.07,0.26,-0.07,-0.07,-0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.321282925592584,0.085593569496331,0.295955914349401,-0.107599444466215,0.0265306122448979
6,C,4,2,177,EDGE,10,0.1,0,0.6,0,0,0,0,0.2,0,0.1,0.134093674655239,-0.407361936531443,-0.140019055460726,-0.689555852386959,4,0.58,1.72413793103448,0.42,0.4,-0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,-0.4,0,0.3,-0.1,-0.1,0,0,0.2,0,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.862937743699262,0.202513436146587,-0.765451392746482,-1.15644262744063,0.0599999999999999
8,C,5,2,89,EDGE,10,0.1,0,0,0.6,0,0.1,0.1,0,0.1,0,0.87998974006486,0.553410155725589,-0.166915371198945,-0.438155281204212,5,0.6,1.66666666666667,0.42,0.4,-0.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,0,-0.2,-0.1,0.5,-0.2,0,0,-0.1,0.1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.828202402104003,-0.606749240329816,0.569898117349717,-0.359143673118207,0.26
10,C,8,1,65,EDGE,10,0.1,0.4,0.1,0,0,0.1,0.2,0,0.1,0,-0.0446978916243801,-0.550539966045208,-0.065658653125651,0.107743101935464,6,0.76,1.31578947368421,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,0.1,0.4,-0.34,-0.11,-0.22,-0.12,0.2,0,0.1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0389373568500149,-0.119174410763608,-0.491201892204956,0.791983627960273,NA
12,C,11,5,127,EDGE,18,0.17,0.22,0.17,0.28,0.11,0,0.06,0,0,0,0.832135059886731,-0.110042381216776,0.138872006701303,-0.208590645347053,6,0.802469135802469,1.24615384615385,0.327777777777778,0.277777777777778,-0.277777777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.472858684450003,-0.451537945297408,0.475089251252504,-0.525101726901706,0.473196067962204,-0.476409782158864,0.509984015827859,-0.497663392597272,0.604566143461029,-0.687656885485485,0.677392186405159,-0.660309159875587,0.644819393121045,-0.691223228709429,0.708460776291379,-0.686463226312888,0.17,0.22,0,0.11,-0.33,-0.06,0.06,0,0,-0.17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.107915730335842,-0.357879212940299,0.381887610802566,0.163769514941904,-0.0864197530864197
14,C,12,2,100,EDGE,18,0.33,0,0.11,0.33,0.11,0,0.11,0,0,0,0.913596967165724,0.662344541550542,-0.0509052328751276,0.0584685899836474,5,0.740740740740741,1.35,0.327777777777778,0.277777777777778,-0.277777777777778,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.472858684450003,-0.451537945297408,0.475089251252504,-0.525101726901706,0.473196067962204,-0.476409782158864,0.509984015827859,-0.497663392597272,0.604566143461029,-0.687656885485485,0.677392186405159,-0.660309159875587,0.644819393121045,-0.691223228709429,0.708460776291379,-0.686463226312888,0.33,-0.13,-0.33,0.27,0.11,-0.25,0.11,-0.06,0,-0.06,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.46618401404197,0.172650614996066,0.721675395258476,0.607958409854506,-0.0219907407407407
16,C,14,2,135,EDGE,10,0,0.1,0.3,0.6,0,0,0,0,0,0,1.20963669037667,-0.0998510111143319,-0.00395534054973747,-1.07743101935462,3,0.54,1.85185185185185,0.42,0.4,-0.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,0,0.1,0.2,0.6,-0.2,-0.3,-0.1,-0.2,-0.1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.148917846555132,-0.299023745560197,1.52252193121096,-0.962505043956798,0.26
18,C,15,5,151,EDGE,16,0,0,0,0.13,0,0.13,0.38,0,0.06,0.31,-0.565232774936873,0.57622663585341,-0.300803648807577,-0.190633461691145,5,0.7265625,1.37634408602151,0.353171875000001,0.281406250000003,-0.3125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.536461999238839,-0.528735898838677,0.502236776644917,-0.504759002094449,0.504658192609313,-0.492032003948193,0.54589838313968,-0.511723617994522,0.74299332134345,-0.681882922808609,0.712793228766181,-0.733037164320511,0.740952709138505,-0.733826915929368,0.774908590951463,-0.682485211322447,-0.06,0,-0.5,-0.04,0,-0.15,0.38,0,0.06,0.31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.08131411184633,0.104579204135074,-1.06967641735611,0.474069648516034,-0.0845871913580247
20,C,16,2,220,EDGE,10,0.1,0,0,0.1,0.1,0.3,0,0.3,0,0.1,-0.0558723644194281,-0.0851835199411229,0.300605881780092,0.179571836559106,6,0.78,1.28205128205128,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,0.1,-0.2,-0.7,0,0.1,0.3,0,0.3,0,0.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.866910319252989,0.507074658476417,-0.622976863591334,1.26418572937609,-0.32
