,cam,img_id,treatment,Rep,cm,gutter_width,frond_no,LE_cm,cm_plus,fromLE
8,5,08-18/0063,S,11,5,11.6,77,23,5,18
9,5,08-18/0064,S,11,9,11.4,58,23,9,14
10,5,08-18/0064,S,11,11,11.5,43,23,11,12
11,5,08-18/0064,S,11,13,11.2,18,23,13,10
12,5,08-18/0161,S,11,15,11.2,2,23,15,8
13,5,08-18/0064,S,11,17,11.6,2,23,17,6
14,5,08-18/0064,S,11,19,11.2,3,23,19,4
15,5,08-18/0064,S,11,21,0,0,23,21,2
16,5,08-18/0064,S,11,23,11.5,5,23,23,0
17,5,08-18/0091,C,5,5,11.3,59,89,5,84
18,5,08-18/0091,C,5,15,11.4,69,89,15,74
19,5,08-18/0092,C,5,25,11.7,63,89,25,64
20,5,08-18/0092,C,5,35,11.6,50,89,35,54
21,5,08-18/0093,C,5,45,11.8,24,89,45,44
22,5,08-18/0093,C,5,55,11.7,24,89,55,34
23,5,08-18/0094,C,5,65,11.5,5,89,65,24
24,5,08-18/0094,C,5,73,11.7,1,89,73,16
25,5,08-18/0094,C,5,75,0,0,89,75,14
26,5,08-18/0095,C,5,77,0,0,89,77,12
27,5,08-18/0095,C,5,79,0,0,89,79,10
28,5,08-18/0095,C,5,81,0,0,89,81,8
29,5,08-18/0095,C,5,83,0,0,89,83,6
30,5,08-18/0095,C,5,85,0,0,89,85,4
31,5,08-18/0095,C,5,87,0,0,89,87,2
32,5,08-18/0095,C,5,89,11.7,2,89,89,0
33,5,08-18/0106,C,25,15,11.2,60,100,15,85
34,5,08-18/0106,C,25,25,11.2,57,100,25,75
35,5,08-18/0107,C,25,35,11.6,49,100,35,65
36,5,08-18/0162,C,25,45,11.5,20,100,45,55
37,5,08-18/0162,C,25,55,11.5,23,100,55,45
38,5,08-18/0162,C,25,65,0,0,100,65,35
39,5,08-18/0162,C,25,75,0,0,100,75,25
40,5,08-18/0164,C,25,85,0,0,100,85,15
41,5,08-18/0164,C,25,89,0,0,100,89,11
42,5,08-18/0164,C,25,91,0,0,100,91,9
43,5,08-18/0164,C,25,93,0,0,100,93,7
44,5,08-18/0164,C,25,95,0,0,100,95,5
45,5,08-18/0164,C,25,97,0,0,100,97,3
46,5,08-18/0164,C,25,99,0,0,100,99,1
47,5,08-18/0164,C,25,101,11.8,8,100,101,-1
48,5,08-18/120,S,18,5,11.5,63,14,5,9
49,5,08-18/120,S,18,9,11.4,9,14,9,5
50,5,08-18/120,S,18,10,11.4,7,14,10,4
51,5,08-18/120,S,18,11,11.4,3,14,11,3
52,5,08-18/120,S,18,12,11.3,2,14,12,2
53,5,08-18/120,S,18,13,11.3,4,14,13,1
54,5,08-18/133,C,8,5,12,66,65,5,60
55,5,08-18/133,C,8,15,12,65,65,15,50
56,5,08-18/134,C,8,25,12,67,65,25,40
57,5,08-18/134,C,8,35,11.9,42,65,35,30
58,5,08-18/135,C,8,45,12,35,65,45,20
59,5,08-18/135,C,8,51,12.2,21,65,51,14
60,5,08-18/135,C,8,53,12.2,16,65,53,12
61,5,08-18/135,C,8,55,11.9,28,65,55,10
62,5,08-18/135,C,8,57,12,22,65,57,8
63,5,08-18/135,C,8,59,12.1,22,65,59,6
64,5,08-18/135,C,8,61,12.1,17,65,61,4
65,5,08-18/135,C,8,63,12,15,65,63,2
66,5,08-18/135,C,8,64,11.9,6,65,64,1
67,5,08-18/146,C,11,5,11.3,66,127,5,122
68,5,08-18/146,C,11,15,11.4,64,127,15,112
69,5,08-18/147,C,11,25,11.9,63,127,25,102
70,5,08-18/147,C,11,35,12,47,127,35,92
71,5,08-18/148,C,11,45,12,31,127,45,82
72,5,08-18/148,C,11,55,11.9,23,127,55,72
73,5,08-18/148,C,11,65,11.9,36,127,65,62
74,5,08-18/149,C,11,75,11.3,37,127,75,52
75,5,08-18/149,C,11,85,11.8,25,127,85,42
76,5,08-18/150,C,11,95,11.8,1,127,95,32
77,5,08-18/150,C,11,105,0,0,127,105,22
78,5,08-18/151,C,11,113,0,0,127,113,14
79,5,08-18/151,C,11,115,0,0,127,115,12
80,5,08-18/151,C,11,117,0,0,127,117,10
81,5,08-18/151,C,11,119,0,0,127,119,8
82,5,08-18/151,C,11,121,0,0,127,121,6
83,5,08-18/151,C,11,123,0,0,127,123,4
84,5,08-18/152,C,11,125,NA,0,127,125,2
85,5,08-18/152,C,11,127,NA,2,127,127,0
86,4,08-18/1043,S,17,5,11.7,29,31,5,26
87,4,08-18/1043,S,17,15,11.8,26,31,15,16
88,4,08-18/1044,S,17,17,11.9,21,31,17,14
89,4,08-18/1044,S,17,19,11.7,26,31,19,12
90,4,08-18/1044,S,17,21,11.9,14,31,21,10
91,4,08-18/1044,S,17,23,11.6,11,31,23,8
92,4,08-18/1044,S,17,25,11.9,15,31,25,6
93,4,08-18/1044,S,17,27,12.1,20,31,27,4
94,4,08-18/1044,S,17,29,12,2,31,29,2
95,4,08-18/1044,S,17,30,12,5,31,30,1
96,4,08-18/1056,C,15,5,11.9,67,151,5,146
97,4,08-18/1056,C,15,15,11.8,72,151,15,136
98,4,08-18/1057,C,15,25,11.6,69,151,25,126
99,4,08-18/1057,C,15,35,11.6,65,151,35,116
100,4,08-18/1058,C,15,45,12,73,151,45,106
101,4,08-18/1058,C,15,55,11.7,62,151,55,96
102,4,08-18/1059,C,15,65,11.9,64,151,65,86
103,4,08-18/1059,C,15,75,11.9,66,151,75,76
104,4,08-18/1060,C,15,85,12,70,151,85,66
105,4,08-18/1060,C,15,95,11.8,61,151,95,56
106,4,08-18/1061,C,15,105,11.9,35,151,105,46
107,4,08-18/1061,C,15,115,12,38,151,115,36
108,4,08-18/1062,C,15,125,12.2,43,151,125,26
109,4,08-18/1062,C,15,135,12.1,31,151,135,16
110,4,08-18/1063,C,15,137,12.4,25,151,137,14
111,4,08-18/1063,C,15,139,12.3,32,151,139,12
112,4,08-18/1063,C,15,141,12.3,36,151,141,10
113,4,08-18/1063,C,15,143,12.3,30,151,143,8
114,4,08-18/1063,C,15,145,12.2,19,151,145,6
115,4,08-18/1063,C,15,147,12.3,31,151,147,4
116,4,08-18/1063,C,15,149,12.4,20,151,149,2
117,4,08-18/1063,C,15,151,12.2,11,151,151,0
153,4,08-18/1099,S,16,5,11.1,64,31,5,26
154,4,08-18/1099,S,16,15,11.3,36,31,15,16
155,4,08-18/1100,S,16,17,11.4,27,31,17,14
156,4,08-18/1100,S,16,19,11.4,20,31,19,12
157,4,08-18/1100,S,16,21,11.3,20,31,21,10
158,4,08-18/1100,S,16,23,11.1,17,31,23,8
159,4,08-18/1100,S,16,25,11.4,23,31,25,6
160,4,08-18/1100,S,16,27,11.4,5,31,27,4
161,4,08-18/1100,S,16,29,NA,0,31,29,2
162,4,08-18/1100,S,16,31,11.4,4,31,31,0
195,4,08-18/1127,S,2,5,10.8,64,27,5,22
196,4,08-18/1128,S,2,13,11.2,58,27,13,14
197,4,08-18/1127,S,2,15,10.8,36,27,15,12
198,4,08-18/1128,S,2,17,11.2,17,27,17,10
199,4,08-18/1128,S,2,19,11.2,12,27,19,8
200,4,08-18/1128,S,2,21,11.1,6,27,21,6
201,4,08-18/1128,S,2,23,NA,0,27,23,4
202,4,08-18/1128,S,2,25,10.8,4,27,25,2
203,4,08-18/1128,S,2,27,10.8,4,27,27,0
204,4,08-18/1156,C,24,5,11.5,61,155,5,150
205,4,08-18/1156,C,24,15,11.7,60,155,15,140
206,4,08-18/1156,C,24,25,11.9,67,155,25,130
207,4,08-18/1157,C,24,35,11.9,75,155,35,120
208,4,08-18/1157,C,24,45,11.8,75,155,45,110
209,4,08-18/1158,C,24,55,11.6,76,155,55,100
210,4,08-18/1158,C,24,65,11.7,64,155,65,90
211,4,08-18/1159,C,24,75,11.9,70,155,75,80
212,4,08-18/1160,C,24,85,11.9,64,155,85,70
213,4,08-18/1160,C,24,95,11.9,45,155,95,60
214,4,08-18/1161,C,24,105,11.6,41,155,105,50
215,4,08-18/1161,C,24,115,11.7,38,155,115,40
216,4,08-18/1162,C,24,125,12.1,45,155,125,30
217,4,08-18/1162,C,24,135,12,49,155,135,20
218,4,08-18/1163,C,24,141,11.9,38,155,141,14
219,4,08-18/1163,C,24,143,12.1,40,155,143,12
220,4,08-18/1163,C,24,145,11.9,48,155,145,10
221,4,08-18/1163,C,24,147,12.3,34,155,147,8
222,4,08-18/1163,C,24,149,12.3,41,155,149,6
223,4,08-18/1163,C,24,151,12.3,42,155,151,4
224,4,08-18/1163,C,24,153,12.3,36,155,153,2
225,4,08-18/1163,C,24,155,11.9,4,155,155,0
226,4,08-18/1169,C,23,5,11.2,59,152,5,147
227,4,08-18/1169,C,23,15,11.1,57,152,15,137
228,4,08-18/1170,C,23,25,11.2,57,152,25,127
229,4,08-18/1170,C,23,35,11.2,50,152,35,117
230,4,08-18/1171,C,23,45,11.3,52,152,45,107
231,4,08-18/1171,C,23,55,11.3,57,152,55,97
232,4,08-18/1172,C,23,65,11.5,52,152,65,87
233,4,08-18/1172,C,23,75,11.5,48,152,75,77
234,4,08-18/1173,C,23,85,11.6,45,152,85,67
235,4,08-18/1173,C,23,95,11.6,39,152,95,57
236,4,08-18/1174,C,23,105,11.6,37,152,105,47
237,4,08-18/1174,C,23,115,11.7,27,152,115,37
238,4,08-18/1175,C,23,125,12,27,152,125,27
239,4,08-18/1175,C,23,135,12,26,152,135,17
240,4,08-18/1176,C,23,137,12,34,152,137,15
241,4,08-18/1176,C,23,139,11.9,24,152,139,13
242,4,08-18/1176,C,23,141,11.8,24,152,141,11
243,4,08-18/1176,C,23,143,11.8,26,152,143,9
244,4,08-18/1176,C,23,145,11.7,22,152,145,7
245,4,08-18/1176,C,23,147,11.8,18,152,147,5
246,4,08-18/1176,C,23,149,11.8,6,152,149,3
247,4,08-18/1176,C,23,151,11.6,3,152,151,1
248,3,08-18/1026,S,12,5,11.4,34,20,5,15
249,3,08-18/1026,S,12,7,11.7,6,20,7,13
250,3,08-18/1026,S,12,9,11.8,6,20,9,11
251,3,08-18/1026,S,12,11,11.8,0,20,11,9
252,3,08-18/1026,S,12,13,11.8,7,20,13,7
253,3,08-18/1026,S,12,15,11.2,6,20,15,5
254,3,08-18/1026,S,12,16,11.6,7,20,16,4
255,3,08-18/1026,S,12,18,11.6,14,20,18,2
256,3,08-18/1026,S,12,20,11.1,5,20,20,0
291,3,08-18/1083,S,24,5,11.5,58,18,5,13
292,3,08-18/1083,S,24,7,11.8,51,18,7,11
293,3,08-18/1083,S,24,9,11.8,28,18,9,9
294,3,08-18/1083,S,24,11,11.8,41,18,11,7
295,3,08-18/1083,S,24,13,11.9,31,18,13,5
296,3,08-18/1083,S,24,15,11.8,7,18,15,3
297,3,08-18/1083,S,24,17,11.8,12,18,17,1
298,3,08-18/1097,C,12,5,11.5,56,100,5,95
299,3,08-18/1097,C,12,15,11.7,62,100,15,85
300,3,08-18/1098,C,12,25,11.5,70,100,25,75
301,3,08-18/1099,C,12,35,11.6,58,100,35,65
302,3,08-18/1099,C,12,45,11.7,31,100,45,55
303,3,08-18/1100,C,12,55,11.8,36,100,55,45
304,3,08-18/1100,C,12,65,12.1,42,100,65,35
305,3,08-18/1101,C,12,75,12,37,100,75,25
306,3,08-18/1101,C,12,85,12,54,100,85,15
307,3,08-18/1102,C,12,87,11.8,49,100,87,13
308,3,08-18/1102,C,12,89,11.8,42,100,89,11
309,3,08-18/1102,C,12,91,11.8,47,100,91,9
310,3,08-18/1102,C,12,93,11.8,46,100,93,7
311,3,08-18/1102,C,12,95,11.9,43,100,95,5
312,3,08-18/1102,C,12,97,11.8,34,100,97,3
313,3,08-18/1102,C,12,99,11.8,33,100,99,1
314,3,08-18/1102,C,12,100,11.8,24,100,100,0
315,3,08-18/1111,S,9,5,12.2,24,17,5,12
316,3,08-18/1111,S,9,7,11.8,52,17,7,10
317,3,08-18/1111,S,9,9,11.8,45,17,9,8
318,3,08-18/1111,S,9,11,11.8,51,17,11,6
319,3,08-18/1111,S,9,13,11.8,14,17,13,4
320,3,08-18/1111,S,9,15,12.3,5,17,15,2
321,3,08-18/1111,S,9,16,12.2,1,17,16,1
322,3,08-18/1125,S,21,5,12.1,34,14,5,9
323,3,08-18/1126,S,21,7,11.5,37,14,7,7
324,3,08-18/1126,S,21,9,11.5,43,14,9,5
325,3,08-18/1126,S,21,11,11.6,17,14,11,3
326,3,08-18/1126,S,21,12,11.6,16,14,12,2
327,3,08-18/1126,S,21,13,11.9,9,14,13,1
328,3,08-18/1126,S,21,14,11.7,9,14,14,0
329,3,08-18/1139,S,25,5,11.8,63,16,5,11
330,3,08-18/1139,S,25,7,11.9,53,16,7,9
331,3,08-18/1139,S,25,9,11.6,47,16,9,7
332,3,08-18/1139,S,25,11,11.8,27,16,11,5
333,3,08-18/1139,S,25,13,11.8,12,16,13,3
334,3,08-18/1139,S,25,15,11.7,14,16,15,1
335,3,08-18/1139,S,25,16,11.8,7,16,16,0
336,2,08-18/1145,S,3,5,11.7,38,21,5,16
337,2,08-18/1145,S,3,9,11.9,25,21,9,12
338,2,08-18/1145,S,3,11,12,17,21,11,10
339,2,08-18/1145,S,3,13,12,20,21,13,8
340,2,08-18/1145,S,3,15,12.1,25,21,15,6
341,2,08-18/1145,S,3,17,12.1,14,21,17,4
342,2,08-18/1145,S,3,19,NA,0,21,19,2
343,2,08-18/1145,S,3,20,12.2,3,21,20,1
378,2,08-18/1257,S,20,5,11.9,34,71,5,66
379,2,08-18/1258,S,20,15,11.1,31,71,15,56
380,2,08-18/1258,S,20,25,11.2,3,71,25,46
381,2,08-18/1259,S,20,35,11.2,7,71,35,36
382,2,08-18/1259,S,20,45,11,11,71,45,26
383,2,08-18/1260,S,20,55,11.2,2,71,55,16
384,2,08-18/1260,S,20,57,11.2,0,71,57,14
385,2,08-18/1260,S,20,59,11.3,1,71,59,12
386,2,08-18/1260,S,20,61,11.3,0,71,61,10
387,2,08-18/1260,S,20,63,11.3,0,71,63,8
388,2,08-18/1260,S,20,65,11.3,0,71,65,6
389,2,08-18/1260,S,20,67,11.3,0,71,67,4
390,2,08-18/1260,S,20,69,11.6,4,71,69,2
391,2,08-18/1260,S,20,70,11.4,7,71,70,1
392,2,08-18/1271,S,5,5,11.2,38,16,5,11
393,2,08-18/1271,S,5,9,11.2,36,16,9,7
394,2,08-18/1271,S,5,10,11.3,42,16,10,6
395,2,08-18/1271,S,5,11,11.3,34,16,11,5
396,2,08-18/1271,S,5,12,11.3,18,16,12,4
397,2,08-18/1271,S,5,13,11.3,24,16,13,3
398,2,08-18/1271,S,5,14,11.3,26,16,14,2
399,2,08-18/1271,S,5,15,11.3,20,16,15,1
400,2,08-18/1201,C,1,5,11.9,59,114,5,109
401,2,08-18/1201,C,1,15,12.1,72,114,15,99
402,2,08-18/1202,C,1,25,11.7,66,114,25,89
403,2,08-18/1202,C,1,35,11.7,63,114,35,79
404,2,08-18/1203,C,1,45,11.9,65,114,45,69
405,2,08-18/1203,C,1,55,12.1,71,114,55,59
406,2,08-18/1204,C,1,65,12,62,114,65,49
407,2,08-18/1204,C,1,75,12,70,114,75,39
408,2,08-18/1205,C,1,85,11.9,60,114,85,29
409,2,08-18/1205,C,1,95,12.1,59,114,95,19
410,2,08-18/1206,C,1,99,12.2,50,114,99,15
