,Treatment,Rep,Position,Table,SampleID,GenotypeID
4,CTRL,1,CORE,3,C1C1D,LJ01
5,CTRL,1,CORE,3,C1C1E,LJ03
6,CTRL,1,CORE,3,C1C1F,LJ03
7,CTRL,1,CORE,3,C1C1G,LJ03
8,CTRL,1,CORE,3,C1C1H,LJ01
9,CTRL,1,CORE,3,C1C1I,LJ01
10,CTRL,1,CORE,3,C1C1J,LJ01
11,CTRL,1,CORE,3,C1C1K,LM01
12,CTRL,1,CORE,3,C1C1L,LJ03
13,CTRL,1,CORE,3,C1C1M,LJ03
14,CTRL,1,CORE,3,C1C1N,LJ01
15,CTRL,1,CORE,3,C1C1O,LJ03
16,CTRL,1,CORE,3,C1C1P,LJ03
17,CTRL,1,EDGE,3,C1E1A,LJ04
19,CTRL,1,EDGE,3,C1E1C,LJ04
20,CTRL,1,EDGE,3,C1E1D,LJ04
21,CTRL,1,EDGE,3,C1E1E,LJ03
22,CTRL,1,EDGE,3,C1E1F,LJ04
23,CTRL,1,EDGE,3,C1E1G,LJ04
24,CTRL,1,EDGE,3,C1E1H,LJ04
25,CTRL,1,EDGE,3,C1E1I,LJ04
26,CTRL,1,EDGE,3,C1E1J,LJ04
27,CTRL,1,EDGE,3,C1E1K,LM01
28,CTRL,1,EDGE,3,C1E1L,LJ04
29,CTRL,1,EDGE,3,C1E1M,LJ04
30,CTRL,1,EDGE,3,C1E1N,LJ04
31,CTRL,1,EDGE,3,C1E1O,LJ04
32,CTRL,1,EDGE,3,C1E1P,LJ04
33,CTRL,1,EDGE,3,C1E1Q,LJ04
34,CTRL,1,EDGE,3,C1E1R,LJ04
36,CTRL,2,CORE,2,C2C1B,LM06
38,CTRL,2,CORE,2,C2C1D,LM01
39,CTRL,2,CORE,2,C2C1E,LJ03
40,CTRL,2,CORE,2,C2C1F,LM06
41,CTRL,2,CORE,2,C2C1G,LM01
42,CTRL,2,CORE,2,C2C1H,LM04
43,CTRL,2,CORE,2,C2C1I,LJ03
44,CTRL,2,CORE,2,C2C1J,LM06
45,CTRL,2,CORE,2,C2C1K,LJ03
46,CTRL,2,CORE,2,C2C1L,LM04
47,CTRL,2,CORE,2,C2C1M,LM02
48,CTRL,2,CORE,2,C2C1N,LM03
49,CTRL,2,CORE,2,C2C1O,LM05
50,CTRL,2,CORE,2,C2C1P,LM01
52,CTRL,2,EDGE,2,C2E1B,LJ03
53,CTRL,2,EDGE,2,C2E1C,LM03
54,CTRL,2,EDGE,2,C2E1D,LJ03
55,CTRL,2,EDGE,2,C2E1E,LJ03
56,CTRL,2,EDGE,2,C2E1F,LJ04
57,CTRL,2,EDGE,2,C2E1G,LM03
58,CTRL,2,EDGE,2,C2E1H,LM01
59,CTRL,2,EDGE,2,C2E1I,LM01
60,CTRL,2,EDGE,2,C2E1J,LM03
61,CTRL,2,EDGE,2,C2E1K,LM04
62,CTRL,2,EDGE,2,C2E1L,LM03
63,CTRL,2,EDGE,2,C2E1M,LJ01
64,CTRL,2,EDGE,2,C2E1N,LJ02
65,CTRL,2,EDGE,2,C2E1O,LM03
66,CTRL,2,EDGE,2,C2E1P,LJ01
67,CTRL,3,EDGE,4,C3E1A,LJ04
68,CTRL,3,EDGE,4,C3E1B,LM03
70,CTRL,4,CORE,2,C4C1A,LJ01
71,CTRL,4,CORE,2,C4C1B,LJ04
72,CTRL,4,CORE,2,C4C1C,LJ01
73,CTRL,4,CORE,2,C4C1D,LM01
74,CTRL,4,CORE,2,C4C1E,LJ01
75,CTRL,4,CORE,2,C4C1F,LJ01
76,CTRL,4,CORE,2,C4C1G,LJ03
77,CTRL,4,CORE,2,C4C1H,LJ01
78,CTRL,4,CORE,2,C4C1I,LJ03
79,CTRL,4,CORE,2,C4C1J,LJ03
80,CTRL,4,EDGE,2,C4E1A,LJ01
81,CTRL,4,EDGE,2,C4E1B,LM06
82,CTRL,4,EDGE,2,C4E1C,LJ03
83,CTRL,4,EDGE,2,C4E1D,LJ03
84,CTRL,4,EDGE,2,C4E1E,LM04
85,CTRL,4,EDGE,2,C4E1F,LJ03
86,CTRL,4,EDGE,2,C4E1G,LJ03
87,CTRL,4,EDGE,2,C4E1H,LJ03
88,CTRL,4,EDGE,2,C4E1I,LJ03
89,CTRL,4,EDGE,2,C4E1J,LM04
90,CTRL,5,CORE,2,C5C1A,LM01
91,CTRL,5,CORE,2,C5C1B,LJ04
92,CTRL,5,CORE,2,C5C1C,LM03
93,CTRL,5,CORE,2,C5C1D,LJ02
94,CTRL,5,CORE,2,C5C1E,LJ01
95,CTRL,5,CORE,2,C5C1F,LM04
96,CTRL,5,CORE,2,C5C1G,LM02
97,CTRL,5,CORE,2,C5C1H,LJ03
98,CTRL,5,CORE,2,C5C1I,LJ02
99,CTRL,5,CORE,2,C5C1J,LM01
100,CTRL,5,EDGE,2,C5E1A,LJ04
101,CTRL,5,EDGE,2,C5E1B,LM05
102,CTRL,5,EDGE,2,C5E1C,LJ04
103,CTRL,5,EDGE,2,C5E1D,LJ04
104,CTRL,5,EDGE,2,C5E1E,LJ04
105,CTRL,5,EDGE,2,C5E1F,LM03
106,CTRL,5,EDGE,2,C5E1G,LJ04
107,CTRL,5,EDGE,2,C5E1H,LM02
108,CTRL,5,EDGE,2,C5E1I,LJ01
109,CTRL,5,EDGE,2,C5E1J,LJ04
110,CTRL,6,CORE,3,C6C1A,LJ04
111,CTRL,6,CORE,3,C6C1B,LJ03
112,CTRL,6,CORE,3,C6C1C,LM01
113,CTRL,6,EDGE,3,C6E1A,LM05
114,CTRL,6,EDGE,3,C6E1B,LJ02
117,CTRL,6,EDGE,3,C6E1E,LM04
118,CTRL,6,EDGE,3,C6E1O,LM02
119,CTRL,7,EDGE,4,C7E1A,LM06
120,CTRL,7,EDGE,4,C7E1B,LJ03
121,CTRL,7,EDGE,4,C7E1C,LM03
122,CTRL,8,CORE,1,C8C1A,LM01
123,CTRL,8,CORE,1,C8C1B,LM02
124,CTRL,8,CORE,1,C8C1C,LM01
126,CTRL,8,CORE,1,C8C1E,LJ04
127,CTRL,8,CORE,1,C8C1F,LJ03
128,CTRL,8,CORE,1,C8C1G,LM02
129,CTRL,8,CORE,1,C8C1H,LJ03
130,CTRL,8,CORE,1,C8C1I,LJ03
131,CTRL,8,CORE,1,C8C1J,LJ03
132,CTRL,8,EDGE,1,C8E1A,LJ02
133,CTRL,8,EDGE,1,C8E1B,LM02
134,CTRL,8,EDGE,1,C8E1C,LJ01
136,CTRL,8,EDGE,1,C8E1E,LJ02
137,CTRL,8,EDGE,1,C8E1F,LJ02
138,CTRL,8,EDGE,1,C8E1G,LM05
139,CTRL,8,EDGE,1,C8E1H,LJ02
140,CTRL,8,EDGE,1,C8E1I,LM03
141,CTRL,8,EDGE,1,C8E1J,LM03
142,CTRL,8,EDGE,1,C8E1O,LJ03
143,CTRL,10,CORE,4,C10C1X,LJ04
146,CTRL,10,CORE,4,C10C1C,LJ01
147,CTRL,10,CORE,4,C10C1D,LJ03
148,CTRL,10,CORE,4,C10C1E,LJ03
149,CTRL,10,CORE,4,C10C1F,LJ03
150,CTRL,10,CORE,4,C10C1I,LM06
151,CTRL,10,EDGE,4,C10E1Y,LJ02
153,CTRL,11,CORE,5,C11C1A,LJ04
154,CTRL,11,CORE,5,C11C1B,LM06
155,CTRL,11,CORE,5,C11C1C,LJ03
156,CTRL,11,CORE,5,C11C1D,LM01
157,CTRL,11,CORE,5,C11C1E,LJ03
158,CTRL,11,CORE,5,C11C1F,LM01
159,CTRL,11,CORE,5,C11C1G,LJ03
160,CTRL,11,CORE,5,C11C1H,LM01
161,CTRL,11,CORE,5,C11C1I,LJ04
162,CTRL,11,CORE,5,C11C1J,LM02
163,CTRL,11,CORE,5,C11C1K,LM01
164,CTRL,11,CORE,5,C11C1L,LM06
165,CTRL,11,CORE,5,C11C1M,LJ04
166,CTRL,11,CORE,5,C11C1N,LM01
167,CTRL,11,CORE,5,C11C1O,LM01
168,CTRL,11,CORE,5,C11C1P,LM01
169,CTRL,11,CORE,5,C11C1Q,LM06
170,CTRL,11,CORE,5,C11C1R,LM01
171,CTRL,11,EDGE,5,C11E1A,LJ01
172,CTRL,11,EDGE,5,C11E1B,LJ04
173,CTRL,11,EDGE,5,C11E1C,LJ02
174,CTRL,11,EDGE,5,C11E1D,LJ01
175,CTRL,11,EDGE,5,C11E1E,LJ02
176,CTRL,11,EDGE,5,C11E1F,LJ03
177,CTRL,11,EDGE,5,C11E1G,LJ04
178,CTRL,11,EDGE,5,C11E1H,LJ01
179,CTRL,11,EDGE,5,C11E1I,LM03
180,CTRL,11,EDGE,5,C11E1J-1,LJ03
181,CTRL,11,EDGE,5,C11E1J,LJ04
182,CTRL,11,EDGE,5,C11E1K,LJ03
183,CTRL,11,EDGE,5,C11E1L,LJ02
184,CTRL,11,EDGE,5,C11E1M,LJ04
185,CTRL,11,EDGE,5,C11E1N,LM01
186,CTRL,11,EDGE,5,C11E1O,LJ04
187,CTRL,11,EDGE,5,C11E1P,LJ02
188,CTRL,11,EDGE,5,C11E1Q,LM01
189,CTRL,12,CORE,2,C12C1A,LM04
190,CTRL,12,CORE,2,C12C1B,LJ03
191,CTRL,12,CORE,2,C12C1C,LM06
192,CTRL,12,CORE,2,C12C1D,LJ03
193,CTRL,12,CORE,2,C12C1E,LM02
194,CTRL,12,CORE,2,C12C1F,LJ02
195,CTRL,12,CORE,2,C12C1G,LM02
196,CTRL,12,CORE,2,C12C1H,LJ03
197,CTRL,12,CORE,2,C12C1I,LJ02
198,CTRL,12,CORE,2,C12C1J,LJ03
199,CTRL,12,CORE,2,C12C1K,LJ03
