"","treatment","Rep","peak","fifty_pct_edge","edge","peak_edge_dist","fifty_pct_edge_dist"
"1","C",1,15,85,113,98,28
"2","C",2,24,134,198,174,64
"3","C",4,35,155,176,141,21
"4","C",5,15,35,89,74,54
"5","C",8,25,55,64,39,9
"6","C",11,5,75,127,122,52
"7","C",12,25,93,100,75,7
"8","C",14,45,95,134,89,39
"9","C",15,45,125,151,106,26
"10","C",16,70,170,195,125,25
"11","C",18,9,47,59,50,12
"12","C",23,5,105,151,146,46
"13","C",24,55,145,155,100,10
"14","C",25,15,35,101,86,66
"15","S",1,17,29,30,13,1
"16","S",2,5,17,27,22,10
"17","S",3,5,15,20,15,5
"18","S",5,10,11,15,5,4
"19","S",7,5,13,17,12,4
"20","S",9,7,11,16,9,5
"21","S",10,5,30,30,25,1
"22","S",11,5,13,23,18,10
"23","S",12,5,18,20,15,2
"24","S",13,9,11,16,7,5
"25","S",14,15,17,25,10,8
"26","S",16,5,25,31,26,6
"27","S",17,5,27,30,25,3
"28","S",18,5,10,13,8,3
"29","S",19,5,17,26,21,9
"30","S",20,5,45,70,65,25
"31","S",21,9,9,14,5,5
"32","S",24,5,11,17,12,6
"33","S",25,5,9,16,11,7
