"","treatment","Rep","peak","edge","cm5_pop","cm10_pop"
"1","C",1,72,1,0.236111111111111,0.541666666666667
"2","C",2,65,3,0.169230769230769,0.369230769230769
"3","C",4,75,4,0.2,0.4
"4","C",5,69,2,0,0
"5","C",8,67,6,0.328358208955224,0.417910447761194
"6","C",11,66,2,0,0
"7","C",12,70,24,0.614285714285714,0.6
"8","C",14,72,4,0.263888888888889,0.305555555555556
"9","C",15,73,11,0.26027397260274,0.493150684931507
"10","C",16,66,3,0.318181818181818,0.409090909090909
"11","C",18,73,6,0.328767123287671,0.684931506849315
"12","C",23,59,3,0.305084745762712,0.406779661016949
"13","C",24,76,4,0.539473684210526,0.631578947368421
"14","C",25,60,0,0,0
"15","S",1,34,4,0.264705882352941,0
"16","S",2,64,4,0.09375,0.265625
"17","S",3,38,3,0.657894736842105,0.447368421052632
"18","S",5,42,20,0.80952380952381,0.904761904761905
"19","S",7,38,5,0.526315789473684,0.789473684210526
"20","S",9,52,1,0.980769230769231,1
"21","S",10,33,3,0,0.0606060606060606
"22","S",11,77,5,0.025974025974026,0.233766233766234
"23","S",12,34,5,0.176470588235294,0.176470588235294
"24","S",13,18,4,0.0555555555555556,0.833333333333333
"25","S",14,71,2,0.408450704225352,1
"26","S",16,64,4,0.359375,0.3125
"27","S",17,29,5,0.517241379310345,0.482758620689655
"28","S",18,63,4,0.142857142857143,1
"29","S",19,54,10,0.12962962962963,0.555555555555556
"30","S",20,34,7,0,0
"31","S",21,43,9,1,0.790697674418605
"32","S",24,58,12,0.53448275862069,0.879310344827586
"33","S",25,63,7,0.428571428571429,1
