,cam,img_id,treatment,Rep,day,cm,gutter_width,lemna_width,frond_no,density_fpcm,LE_cm,cm_plus,fromLE
8,5,08-18/0063,S,11,30,5,11.6,11.6,77,6.6,23,5,18
9,5,08-18/0064,S,11,30,9,11.4,11.4,58,NA,23,9,14
10,5,08-18/0064,S,11,30,11,11.5,9.7,43,NA,23,11,12
11,5,08-18/0064,S,11,30,13,11.2,4.7,18,NA,23,13,10
12,5,08-18/0161,S,11,30,15,11.2,1.1,2,1.8,23,15,8
13,5,08-18/0064,S,11,30,17,11.6,0.6,2,NA,23,17,6
14,5,08-18/0064,S,11,30,19,11.2,0.8,3,NA,23,19,4
15,5,08-18/0064,S,11,30,21,0,0,0,NA,23,21,2
16,5,08-18/0064,S,11,30,23,11.5,1,5,5,23,23,0
17,5,08-18/0091,C,5,30,5,11.3,11.3,59,5.2,89,5,84
18,5,08-18/0091,C,5,30,15,11.4,11.4,69,6.1,89,15,74
19,5,08-18/0092,C,5,30,25,11.7,11.7,63,5.4,89,25,64
20,5,08-18/0092,C,5,30,35,11.6,11.6,50,4.3,89,35,54
21,5,08-18/0093,C,5,30,45,11.8,11.8,24,2,89,45,44
22,5,08-18/0093,C,5,30,55,11.7,11.7,24,2.1,89,55,34
23,5,08-18/0094,C,5,30,65,11.5,11.5,5,0.4,89,65,24
24,5,08-18/0094,C,5,30,73,11.7,11.7,1,NA,89,73,16
25,5,08-18/0094,C,5,30,75,0,0,0,0,89,75,14
26,5,08-18/0095,C,5,30,77,0,0,0,NA,89,77,12
27,5,08-18/0095,C,5,30,79,0,0,0,NA,89,79,10
28,5,08-18/0095,C,5,30,81,0,0,0,NA,89,81,8
29,5,08-18/0095,C,5,30,83,0,0,0,NA,89,83,6
30,5,08-18/0095,C,5,30,85,0,0,0,0,89,85,4
31,5,08-18/0095,C,5,30,87,0,0,0,NA,89,87,2
32,5,08-18/0095,C,5,30,89,11.7,11.7,2,0.2,89,89,0
33,5,08-18/0106,C,25,30,15,11.2,11.2,60,5.4,100,15,85
34,5,08-18/0106,C,25,30,25,11.2,11.2,57,5.1,100,25,75
35,5,08-18/0107,C,25,30,35,11.6,11.6,49,4.2,100,35,65
36,5,08-18/0162,C,25,30,45,11.5,11.5,20,1.7,100,45,55
37,5,08-18/0162,C,25,30,55,11.5,11.5,23,2,100,55,45
38,5,08-18/0162,C,25,30,65,0,0,0,0,100,65,35
39,5,08-18/0162,C,25,30,75,0,0,0,0,100,75,25
40,5,08-18/0164,C,25,30,85,0,0,0,0,100,85,15
41,5,08-18/0164,C,25,30,89,0,0,0,NA,100,89,11
42,5,08-18/0164,C,25,30,91,0,0,0,NA,100,91,9
43,5,08-18/0164,C,25,30,93,0,0,0,NA,100,93,7
44,5,08-18/0164,C,25,30,95,0,0,0,0,100,95,5
45,5,08-18/0164,C,25,30,97,0,0,0,NA,100,97,3
46,5,08-18/0164,C,25,30,99,0,0,0,NA,100,99,1
47,5,08-18/0164,C,25,30,101,11.8,11.8,8,0.7,100,101,-1
48,5,08-18/120,S,18,30,5,11.5,11.5,63,5.5,14,5,9
49,5,08-18/120,S,18,30,9,11.4,2.3,9,NA,14,9,5
50,5,08-18/120,S,18,30,10,11.4,1.6,7,NA,14,10,4
51,5,08-18/120,S,18,30,11,11.4,1,3,NA,14,11,3
52,5,08-18/120,S,18,30,12,11.3,1.2,2,NA,14,12,2
53,5,08-18/120,S,18,30,13,11.3,1.5,4,2.7,14,13,1
54,5,08-18/133,C,8,30,5,12,12,66,5.5,65,5,60
55,5,08-18/133,C,8,30,15,12,12,65,5.4,65,15,50
56,5,08-18/134,C,8,30,25,12,12,67,5.6,65,25,40
57,5,08-18/134,C,8,30,35,11.9,11.9,42,3.5,65,35,30
58,5,08-18/135,C,8,30,45,12,12,35,2.9,65,45,20
59,5,08-18/135,C,8,30,51,12.2,12.2,21,NA,65,51,14
60,5,08-18/135,C,8,30,53,12.2,12.2,16,NA,65,53,12
61,5,08-18/135,C,8,30,55,11.9,11.9,28,2.4,65,55,10
62,5,08-18/135,C,8,30,57,12,12,22,NA,65,57,8
63,5,08-18/135,C,8,30,59,12.1,12.1,22,NA,65,59,6
64,5,08-18/135,C,8,30,61,12.1,12.1,17,NA,65,61,4
65,5,08-18/135,C,8,30,63,12,12,15,NA,65,63,2
66,5,08-18/135,C,8,30,64,11.9,11.9,6,0.5,65,64,1
67,5,08-18/146,C,11,30,5,11.3,11.3,66,5.8,127,5,122
68,5,08-18/146,C,11,30,15,11.4,11.4,64,5.6,127,15,112
69,5,08-18/147,C,11,30,25,11.9,11.9,63,5.3,127,25,102
70,5,08-18/147,C,11,30,35,12,12,47,3.9,127,35,92
71,5,08-18/148,C,11,30,45,12,12,31,2.6,127,45,82
72,5,08-18/148,C,11,30,55,11.9,11.9,23,1.9,127,55,72
73,5,08-18/148,C,11,30,65,11.9,11.9,36,3,127,65,62
