,Treatment,Rep,BenchID,day,back,front,gap_back,gap_front,algae,extent
1,C,1,3,0,0,8,NA,NA,NA,8
2,C,1,3,6,22,57,36,43,0,35
3,C,1,3,9,0,52,NA,NA,0,52
4,C,1,3,13,0,83,NA,NA,1,83
5,C,1,3,16,0,98,NA,NA,3,98
6,C,1,3,20,0,103,NA,NA,3,103
7,C,1,3,23,0,105,NA,NA,2,105
8,C,1,3,27,0,110,NA,NA,2,110
9,C,1,3,30,0,114,NA,NA,1,114
10,C,2,2,0,0,8,NA,NA,NA,8
11,C,2,2,6,95,118,NA,NA,0,23
12,C,2,2,9,124,192,NA,NA,0,68
13,C,2,2,13,158,225,NA,NA,0,67
14,C,2,2,16,-228,-107,NA,NA,0,121
15,C,2,2,20,-231,-73,NA,NA,0,158
16,C,2,2,23,-233,-55,NA,NA,2,178
17,C,2,2,27,-241,-28,NA,NA,3,213
18,C,2,2,30,-253,-20,NA,NA,3,233
19,C,4,2,0,0,8,NA,NA,NA,8
20,C,4,2,6,0,21,NA,NA,0,21
21,C,4,2,9,0,32,NA,NA,0,32
22,C,4,2,13,0,64,NA,NA,2,64
23,C,4,2,16,0,98,NA,NA,3,98
24,C,4,2,20,0,119,NA,NA,3,119
25,C,4,2,23,0,151,NA,NA,3,151
26,C,4,2,27,0,172,NA,NA,3,172
27,C,4,2,30,0,177,NA,NA,2,177
28,C,5,2,0,0,8,NA,NA,NA,8
29,C,5,2,6,0,20,NA,NA,0,20
30,C,5,2,9,0,27,NA,NA,0,27
31,C,5,2,13,0,32,NA,NA,0,32
32,C,5,2,16,0,37,NA,NA,1,37
33,C,5,2,20,0,61,NA,NA,3,61
34,C,5,2,23,0,75,65,72,2,75
35,C,5,2,27,0,73,NA,NA,2,73
36,C,5,2,30,0,89,72,89,2,89
37,C,8,1,0,0,8,NA,NA,NA,8
38,C,8,1,6,9,31,NA,NA,0,22
39,C,8,1,9,2,34,16,26,1,32
40,C,8,1,13,0,38,NA,NA,3,38
41,C,8,1,16,0,47,NA,NA,2,47
42,C,8,1,20,0,50,NA,NA,2,50
43,C,8,1,23,0,53,NA,NA,2,53
44,C,8,1,27,0,60,NA,NA,3,60
45,C,8,1,30,0,65,NA,NA,1,65
46,C,11,5,0,0,8,NA,NA,NA,8
47,C,11,5,6,0,27,NA,NA,NA,27
48,C,11,5,9,0,31,NA,NA,0,31
49,C,11,5,13,0,34,NA,NA,3,34
50,C,11,5,16,0,53,NA,NA,2,53
51,C,11,5,20,0,66,NA,NA,2,66
52,C,11,5,23,0,72,NA,NA,2,72
53,C,11,5,27,0,126,94,126,2,126
54,C,11,5,30,0,127,95,125,2,127
55,C,12,2,0,0,8,NA,NA,NA,8
56,C,12,2,6,0,29,NA,NA,0,29
57,C,12,2,9,0,31,NA,NA,0,31
58,C,12,2,13,0,34,NA,NA,1,34
59,C,12,2,16,0,54,NA,NA,2,54
60,C,12,2,20,0,94,NA,NA,3,94
61,C,12,2,23,0,95,NA,NA,2,95
62,C,12,2,27,0,99,NA,NA,2,99
63,C,12,2,30,0,100,NA,NA,3,100
64,C,14,2,0,0,8,NA,NA,NA,8
65,C,14,2,6,0,24,NA,NA,0,24
66,C,14,2,9,0,38,NA,NA,0,38
67,C,14,2,13,0,62,NA,NA,0,62
68,C,14,2,16,0,97,NA,NA,1,97
69,C,14,2,20,0,109,NA,NA,3,109
70,C,14,2,23,0,111,NA,NA,2,111
71,C,14,2,27,0,126,NA,NA,3,126
72,C,14,2,30,0,135,NA,NA,3,135
73,C,15,5,0,0,8,NA,NA,NA,8
74,C,15,5,6,0,68,3,38,0,68
75,C,15,5,9,0,62,10,25,0,62
76,C,15,5,13,0,78,NA,NA,1,78
77,C,15,5,16,0,99,NA,NA,1,99
78,C,15,5,20,0,112,NA,NA,2,112
79,C,15,5,23,0,119,NA,NA,1,119
80,C,15,5,27,0,146,NA,NA,1,146
81,C,15,5,30,0,151,NA,NA,1,151
82,C,16,2,0,0,8,NA,NA,NA,8
83,C,16,2,6,-226,-207,NA,NA,0,19
84,C,16,2,9,-226,-183,NA,NA,0,43
85,C,16,2,13,-226,-155,NA,NA,1,71
86,C,16,2,16,37,228,27,102,2,191
87,C,16,2,20,-235,-71,NA,NA,3,164
88,C,16,2,23,-232,-43,NA,NA,1,189
89,C,16,2,27,-264,-33,NA,NA,2,231
90,C,16,2,30,-249,-29,NA,NA,2,220
91,C,18,3,0,0,8,NA,NA,NA,8
92,C,18,3,6,-274,-254,NA,NA,0,20
93,C,18,3,9,-274,-240,NA,NA,0,34
94,C,18,3,13,-274,-225,NA,NA,2,49
95,C,18,3,16,-274,-222,NA,NA,3,52
96,C,18,3,20,-274,-220,NA,NA,3,54
97,C,18,3,23,-274,-218,NA,NA,3,56
98,C,18,3,27,-274,-215,NA,NA,2,59
99,C,18,3,30,-274,-214,NA,NA,1,60
100,C,23,1,0,0,8,NA,NA,NA,8
101,C,23,1,6,0,26,NA,NA,0,26
102,C,23,1,9,0,34,NA,NA,0,34
103,C,23,1,13,0,76,NA,NA,1,76
104,C,23,1,16,0,112,NA,NA,3,112
105,C,23,1,20,0,138,NA,NA,2,138
106,C,23,1,23,0,145,NA,NA,2,145
107,C,23,1,27,0,149,NA,NA,3,149
108,C,23,1,30,0,152,NA,NA,1,152
109,C,24,1,0,0,8,NA,NA,NA,8
110,C,24,1,6,0,87,12,74,0,87
111,C,24,1,9,2,63,11,29,0,61
112,C,24,1,13,0,88,NA,NA,1,88
113,C,24,1,16,0,116,NA,NA,3,116
114,C,24,1,20,0,135,NA,NA,2,135
115,C,24,1,23,0,148,NA,NA,2,148
116,C,24,1,27,0,154,NA,NA,2,154
117,C,24,1,30,0,155,NA,NA,1,155
118,C,25,2,0,0,8,NA,NA,NA,8
119,C,25,2,6,0,32,9,19,0,32
120,C,25,2,9,0,33,NA,NA,0,33
121,C,25,2,13,0,35,NA,NA,1,35
122,C,25,2,16,0,55,44,53,3,55
123,C,25,2,20,0,94,56,90,1,94
124,C,25,2,23,0,97,58,93,1,97
125,C,25,2,27,0,60,NA,NA,3,60
126,C,25,2,30,0,100,62,96,2,100
127,S,1,3,0,0,8,NA,NA,NA,8
128,S,1,3,6,0,10,NA,NA,0,10
129,S,1,3,9,0,24,NA,NA,0,24
130,S,1,3,13,0,23,NA,NA,0,23
131,S,1,3,16,0,24,NA,NA,0,24
132,S,1,3,20,0,25,NA,NA,0,25
133,S,1,3,23,0,26,NA,NA,0,26
134,S,1,3,27,0,27,NA,NA,1,27
135,S,1,3,30,0,31,NA,NA,0,31
136,S,2,2,0,0,8,NA,NA,NA,8
137,S,2,2,6,0,10,NA,NA,0,10
138,S,2,2,9,0,16,NA,NA,0,16
139,S,2,2,13,0,13,NA,NA,1,13
140,S,2,2,16,0,17,NA,NA,0,17
141,S,2,2,20,0,16,NA,NA,0,16
142,S,2,2,23,0,25,NA,NA,1,25
143,S,2,2,27,0,26,NA,NA,1,26
144,S,2,2,30,0,27,NA,NA,1,27
145,S,3,5,0,0,8,NA,NA,NA,8
146,S,3,5,6,0,18,NA,NA,0,18
147,S,3,5,9,0,19,NA,NA,1,19
