,Treatment,Rep,Position,Table,SampleID,Lineage,GenotypeID
4,CTRL,1,CORE,3,C1C1D,LM003,LJ01
5,CTRL,1,CORE,3,C1C1E,LM008,LJ03
6,CTRL,1,CORE,3,C1C1F,LM008,LJ03
7,CTRL,1,CORE,3,C1C1G,LM008,LJ03
8,CTRL,1,CORE,3,C1C1H,LM003,LJ01
9,CTRL,1,CORE,3,C1C1I,LM003,LJ01
10,CTRL,1,CORE,3,C1C1J,LM003,LJ01
11,CTRL,1,CORE,3,C1C1K,LM001,LM01
12,CTRL,1,CORE,3,C1C1L,LM008,LJ03
13,CTRL,1,CORE,3,C1C1M,LM008,LJ03
14,CTRL,1,CORE,3,C1C1N,LM003,LJ01
15,CTRL,1,CORE,3,C1C1O,LM008,LJ03
16,CTRL,1,CORE,3,C1C1P,LM008,LJ03
17,CTRL,1,EDGE,3,C1E1A,LM009,LJ04
19,CTRL,1,EDGE,3,C1E1C,LM009,LJ04
20,CTRL,1,EDGE,3,C1E1D,LM009,LJ04
21,CTRL,1,EDGE,3,C1E1E,LM008,LJ03
22,CTRL,1,EDGE,3,C1E1F,LM009,LJ04
23,CTRL,1,EDGE,3,C1E1G,LM009,LJ04
24,CTRL,1,EDGE,3,C1E1H,LM009,LJ04
25,CTRL,1,EDGE,3,C1E1I,LM009,LJ04
26,CTRL,1,EDGE,3,C1E1J,LM009,LJ04
27,CTRL,1,EDGE,3,C1E1K,LM001,LM01
28,CTRL,1,EDGE,3,C1E1L,LM009,LJ04
29,CTRL,1,EDGE,3,C1E1M,LM009,LJ04
30,CTRL,1,EDGE,3,C1E1N,LM009,LJ04
31,CTRL,1,EDGE,3,C1E1O,LM009,LJ04
32,CTRL,1,EDGE,3,C1E1P,LM009,LJ04
33,CTRL,1,EDGE,3,C1E1Q,LM009,LJ04
34,CTRL,1,EDGE,3,C1E1R,LM009,LJ04
36,CTRL,2,CORE,2,C2C1B,LM010,LM06
38,CTRL,2,CORE,2,C2C1D,LM001,LM01
39,CTRL,2,CORE,2,C2C1E,LM008,LJ03
40,CTRL,2,CORE,2,C2C1F,LM010,LM06
41,CTRL,2,CORE,2,C2C1G,LM001,LM01
42,CTRL,2,CORE,2,C2C1H,LM006,LM04
43,CTRL,2,CORE,2,C2C1I,LM008,LJ03
44,CTRL,2,CORE,2,C2C1J,LM010,LM06
45,CTRL,2,CORE,2,C2C1K,LM008,LJ03
46,CTRL,2,CORE,2,C2C1L,LM006,LM04
47,CTRL,2,CORE,2,C2C1M,LM002,LM02
48,CTRL,2,CORE,2,C2C1N,LM005,LM03
49,CTRL,2,CORE,2,C2C1O,LM007,LM05
50,CTRL,2,CORE,2,C2C1P,LM001,LM01
52,CTRL,2,EDGE,2,C2E1B,LM008,LJ03
53,CTRL,2,EDGE,2,C2E1C,LM005,LM03
54,CTRL,2,EDGE,2,C2E1D,LM008,LJ03
55,CTRL,2,EDGE,2,C2E1E,LM008,LJ03
56,CTRL,2,EDGE,2,C2E1F,LM009,LJ04
57,CTRL,2,EDGE,2,C2E1G,LM005,LM03
58,CTRL,2,EDGE,2,C2E1H,LM001,LM01
59,CTRL,2,EDGE,2,C2E1I,LM001,LM01
60,CTRL,2,EDGE,2,C2E1J,LM005,LM03
61,CTRL,2,EDGE,2,C2E1K,LM006,LM04
62,CTRL,2,EDGE,2,C2E1L,LM005,LM03
63,CTRL,2,EDGE,2,C2E1M,LM003,LJ01
64,CTRL,2,EDGE,2,C2E1N,LM004,LJ02
65,CTRL,2,EDGE,2,C2E1O,LM005,LM03
66,CTRL,2,EDGE,2,C2E1P,LM003,LJ01
67,CTRL,3,EDGE,4,C3E1A,LM009,LJ04
68,CTRL,3,EDGE,4,C3E1B,LM005,LM03
70,CTRL,4,CORE,2,C4C1A,LM003,LJ01
71,CTRL,4,CORE,2,C4C1B,LM009,LJ04
72,CTRL,4,CORE,2,C4C1C,LM003,LJ01
73,CTRL,4,CORE,2,C4C1D,LM001,LM01
74,CTRL,4,CORE,2,C4C1E,LM003,LJ01
75,CTRL,4,CORE,2,C4C1F,LM003,LJ01
76,CTRL,4,CORE,2,C4C1G,LM008,LJ03
77,CTRL,4,CORE,2,C4C1H,LM003,LJ01
78,CTRL,4,CORE,2,C4C1I,LM008,LJ03
79,CTRL,4,CORE,2,C4C1J,LM008,LJ03
80,CTRL,4,EDGE,2,C4E1A,LM003,LJ01
81,CTRL,4,EDGE,2,C4E1B,LM010,LM06
82,CTRL,4,EDGE,2,C4E1C,LM008,LJ03
83,CTRL,4,EDGE,2,C4E1D,LM008,LJ03
84,CTRL,4,EDGE,2,C4E1E,LM006,LM04
85,CTRL,4,EDGE,2,C4E1F,LM008,LJ03
86,CTRL,4,EDGE,2,C4E1G,LM008,LJ03
87,CTRL,4,EDGE,2,C4E1H,LM008,LJ03
88,CTRL,4,EDGE,2,C4E1I,LM008,LJ03
89,CTRL,4,EDGE,2,C4E1J,LM006,LM04
90,CTRL,5,CORE,2,C5C1A,LM001,LM01
91,CTRL,5,CORE,2,C5C1B,LM009,LJ04
92,CTRL,5,CORE,2,C5C1C,LM005,LM03
93,CTRL,5,CORE,2,C5C1D,LM004,LJ02
94,CTRL,5,CORE,2,C5C1E,LM003,LJ01
95,CTRL,5,CORE,2,C5C1F,LM006,LM04
96,CTRL,5,CORE,2,C5C1G,LM002,LM02
97,CTRL,5,CORE,2,C5C1H,LM008,LJ03
98,CTRL,5,CORE,2,C5C1I,LM004,LJ02
99,CTRL,5,CORE,2,C5C1J,LM001,LM01
100,CTRL,5,EDGE,2,C5E1A,LM009,LJ04
101,CTRL,5,EDGE,2,C5E1B,LM007,LM05
102,CTRL,5,EDGE,2,C5E1C,LM009,LJ04
103,CTRL,5,EDGE,2,C5E1D,LM009,LJ04
104,CTRL,5,EDGE,2,C5E1E,LM009,LJ04
105,CTRL,5,EDGE,2,C5E1F,LM005,LM03
106,CTRL,5,EDGE,2,C5E1G,LM009,LJ04
107,CTRL,5,EDGE,2,C5E1H,LM002,LM02
108,CTRL,5,EDGE,2,C5E1I,LM003,LJ01
109,CTRL,5,EDGE,2,C5E1J,LM009,LJ04
110,CTRL,6,CORE,3,C6C1A,LM009,LJ04
111,CTRL,6,CORE,3,C6C1B,LM008,LJ03
112,CTRL,6,CORE,3,C6C1C,LM001,LM01
113,CTRL,6,EDGE,3,C6E1A,LM007,LM05
114,CTRL,6,EDGE,3,C6E1B,LM004,LJ02
117,CTRL,6,EDGE,3,C6E1E,LM006,LM04
118,CTRL,6,EDGE,3,C6E1O,LM002,LM02
